Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD,Required_Skills,Automation_Level,Job_Growth_2030,Work_Hours_Per_Week,Company_Size,AI_Tool_Usage,Performance_Score,Upskilling_Needed,Job_Satisfaction,Hiring_Trend_2026
AIJ-100020,Healthcare Analyst,Healthcare,India,Master,21,0.9,0.93,No,193356,"Python, Docker, Prompt Engineering, Data Visualization, AWS, SQL",Medium,15,52,Medium,High,2.38,No,3.66,Stable
AIJ-100027,UX Designer,Energy,India,High School,15,0.24,0.46,Yes,129385,"SQL, Communication, TensorFlow, Data Visualization",High,24,31,Medium,Low,3.95,Yes,4.02,Declining
AIJ-100031,Business Analyst,Manufacturing,India,Master,8,0.49,0.46,Hybrid,157808,"Azure, TensorFlow, Leadership, Python",High,7,47,Startup,High,4.84,Yes,1.97,Stable
AIJ-100060,Machine Learning Engineer,Manufacturing,India,Master,24,0.24,0.53,Hybrid,119363,"Machine Learning, Cybersecurity, Python, SQL, Excel, Communication",High,-5,58,Startup,Low,2.47,Yes,3.7,Stable
AIJ-100072,Product Manager,Healthcare,India,High School,24,0.38,0.94,Yes,216489,"Communication, SQL, AWS, PyTorch",Medium,18,58,Enterprise,Low,4.49,Yes,4.79,Declining
AIJ-100136,Cybersecurity Analyst,Manufacturing,India,High School,11,0.84,0.44,Hybrid,101832,"Azure, Python, PyTorch, Cloud Computing, Excel, Machine Learning",High,0,31,Medium,High,2.92,Yes,2.72,Declining
AIJ-100143,Product Manager,Media,India,Bachelor,11,0.06,0.59,Yes,120886,"Cloud Computing, Python, Cybersecurity, Excel",High,39,57,Medium,High,4.66,Yes,2.34,Stable
AIJ-100149,Healthcare Analyst,Transportation,India,Bachelor,2,0.77,0.75,Yes,115524,"Project Management, Communication, Leadership, Azure",Low,39,54,Enterprise,Low,2.47,Yes,2.8,Stable
AIJ-100175,Healthcare Analyst,Manufacturing,India,Master,14,0.25,0.89,Yes,140224,"Leadership, Machine Learning, Deep Learning, Data Visualization",Medium,-7,57,Enterprise,High,3.74,Yes,2.89,Declining
AIJ-100181,Teacher,Healthcare,India,High School,25,0.43,0.91,Yes,164108,"Docker, Communication, Cybersecurity",Medium,2,49,Startup,Moderate,4.49,Yes,2.43,Stable
AIJ-100192,Teacher,Media,India,Master,22,0.46,0.31,Hybrid,138198,"Communication, TensorFlow, Leadership, Cybersecurity",High,30,36,Startup,Low,3.87,No,3.75,Growing
AIJ-100226,Healthcare Analyst,Transportation,India,Master,17,0.81,0.61,Hybrid,218890,"PyTorch, AWS, Cybersecurity, Azure",Low,15,33,Enterprise,Low,2.18,No,2.91,Growing
AIJ-100273,Blockchain Developer,Healthcare,India,Bachelor,5,0.22,0.42,No,113663,"Python, Project Management, Prompt Engineering, Data Visualization, Cloud Computing",Low,-10,60,Enterprise,High,3.54,Yes,3.17,Growing
