Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD,Required_Skills,Automation_Level,Job_Growth_2030,Work_Hours_Per_Week,Company_Size,AI_Tool_Usage,Performance_Score,Upskilling_Needed,Job_Satisfaction,Hiring_Trend_2026
AIJ-100009,Product Manager,Education,India,PhD,6,0.86,0.88,Hybrid,48574,"SQL, Deep Learning, Machine Learning",Low,36,59,Enterprise,High,3.42,No,4.23,Declining
AIJ-100020,Healthcare Analyst,Healthcare,India,Master,21,0.9,0.93,No,193356,"Python, Docker, Prompt Engineering, Data Visualization, AWS, SQL",Medium,15,52,Medium,High,2.38,No,3.66,Stable
AIJ-100027,UX Designer,Energy,India,High School,15,0.24,0.46,Yes,129385,"SQL, Communication, TensorFlow, Data Visualization",High,24,31,Medium,Low,3.95,Yes,4.02,Declining
AIJ-100031,Business Analyst,Manufacturing,India,Master,8,0.49,0.46,Hybrid,157808,"Azure, TensorFlow, Leadership, Python",High,7,47,Startup,High,4.84,Yes,1.97,Stable
AIJ-100036,Business Analyst,Education,India,High School,5,0.1,0.96,Yes,56013,"Azure, Project Management, PyTorch, Cybersecurity, Docker, AWS",Low,25,32,Startup,Low,3.23,No,2.17,Declining
AIJ-100060,Machine Learning Engineer,Manufacturing,India,Master,24,0.24,0.53,Hybrid,119363,"Machine Learning, Cybersecurity, Python, SQL, Excel, Communication",High,-5,58,Startup,Low,2.47,Yes,3.7,Stable
AIJ-100072,Product Manager,Healthcare,India,High School,24,0.38,0.94,Yes,216489,"Communication, SQL, AWS, PyTorch",Medium,18,58,Enterprise,Low,4.49,Yes,4.79,Declining
AIJ-100077,AI Engineer,Manufacturing,India,PhD,17,0.31,0.23,No,82289,"Cybersecurity, Machine Learning, Azure, Python",Medium,-8,54,Enterprise,Low,2.86,Yes,4.46,Stable
AIJ-100095,Robotics Engineer,Technology,India,High School,11,0.79,0.95,No,68397,"Project Management, Cloud Computing, TensorFlow, Azure, Prompt Engineering",High,6,53,Medium,Low,2.61,No,4.73,Growing
AIJ-100098,Product Manager,Transportation,India,Bachelor,25,0.54,0.59,Yes,65179,"Cloud Computing, Leadership, Project Management, Deep Learning, Docker",Medium,0,53,Medium,High,2.77,Yes,1.06,Stable
AIJ-100136,Cybersecurity Analyst,Manufacturing,India,High School,11,0.84,0.44,Hybrid,101832,"Azure, Python, PyTorch, Cloud Computing, Excel, Machine Learning",High,0,31,Medium,High,2.92,Yes,2.72,Declining
AIJ-100143,Product Manager,Media,India,Bachelor,11,0.06,0.59,Yes,120886,"Cloud Computing, Python, Cybersecurity, Excel",High,39,57,Medium,High,4.66,Yes,2.34,Stable
AIJ-100149,Healthcare Analyst,Transportation,India,Bachelor,2,0.77,0.75,Yes,115524,"Project Management, Communication, Leadership, Azure",Low,39,54,Enterprise,Low,2.47,Yes,2.8,Stable
AIJ-100175,Healthcare Analyst,Manufacturing,India,Master,14,0.25,0.89,Yes,140224,"Leadership, Machine Learning, Deep Learning, Data Visualization",Medium,-7,57,Enterprise,High,3.74,Yes,2.89,Declining
AIJ-100181,Teacher,Healthcare,India,High School,25,0.43,0.91,Yes,164108,"Docker, Communication, Cybersecurity",Medium,2,49,Startup,Moderate,4.49,Yes,2.43,Stable
AIJ-100188,Teacher,Government,India,Bachelor,20,0.55,0.2,Hybrid,53827,"TensorFlow, PyTorch, SQL",Medium,11,41,Startup,Low,4.53,No,3.24,Growing
AIJ-100192,Teacher,Media,India,Master,22,0.46,0.31,Hybrid,138198,"Communication, TensorFlow, Leadership, Cybersecurity",High,30,36,Startup,Low,3.87,No,3.75,Growing
AIJ-100220,Data Engineer,Government,India,PhD,12,0.9,0.83,Hybrid,97552,"Docker, Project Management, Leadership",Medium,39,37,Medium,Moderate,4.04,Yes,2.93,Stable
AIJ-100226,Healthcare Analyst,Transportation,India,Master,17,0.81,0.61,Hybrid,218890,"PyTorch, AWS, Cybersecurity, Azure",Low,15,33,Enterprise,Low,2.18,No,2.91,Growing
AIJ-100273,Blockchain Developer,Healthcare,India,Bachelor,5,0.22,0.42,No,113663,"Python, Project Management, Prompt Engineering, Data Visualization, Cloud Computing",Low,-10,60,Enterprise,High,3.54,Yes,3.17,Growing
AIJ-100281,DevOps Engineer,Finance,India,Bachelor,4,0.55,0.87,Yes,124447,"PyTorch, Prompt Engineering, Data Visualization, Deep Learning, Machine Learning, Cloud Computing",Low,31,30,Startup,High,4.65,No,4.9,Declining
AIJ-100284,DevOps Engineer,Manufacturing,India,Master,5,0.51,0.57,Yes,116904,"SQL, Leadership, Python, Deep Learning, Azure",High,28,53,Medium,High,4.36,No,1.25,Stable
AIJ-100288,UX Designer,Manufacturing,India,Master,25,0.37,0.87,Yes,190035,"Leadership, Docker, SQL, AWS, Communication, Kubernetes",Medium,31,48,Medium,Moderate,4.32,Yes,3.94,Growing
AIJ-100295,Cybersecurity Analyst,Media,India,PhD,17,0.95,0.39,No,131913,"Prompt Engineering, Cybersecurity, SQL, Cloud Computing, Python, Excel",Low,-8,40,Startup,Moderate,4.36,Yes,2.62,Declining
AIJ-100312,Software Developer,Manufacturing,India,PhD,5,0.49,0.97,Hybrid,42404,"Project Management, Data Visualization, Communication, Cloud Computing",Low,35,47,Medium,Low,4.92,Yes,1.65,Declining
AIJ-100315,Product Manager,Education,India,Bachelor,0,0.1,0.71,Yes,182943,"Azure, Excel, Machine Learning, Data Visualization",High,44,44,Enterprise,High,4.87,No,1.78,Stable
AIJ-100316,Financial Analyst,Technology,India,Master,11,0.69,0.54,No,131217,"Excel, TensorFlow, Cybersecurity",Medium,45,47,Startup,Low,4.18,No,3.97,Stable
AIJ-100333,Digital Marketer,Education,India,High School,22,0.42,0.24,Yes,94023,"TensorFlow, Cloud Computing, PyTorch, Data Visualization, Azure",Medium,-3,40,Startup,Low,3.62,Yes,2.84,Stable
AIJ-100336,DevOps Engineer,Energy,India,PhD,21,0.44,0.63,Hybrid,82448,"Project Management, Docker, Kubernetes",Low,-9,50,Enterprise,High,4.59,No,1.85,Growing
AIJ-100350,Financial Analyst,Energy,India,Master,19,0.93,0.59,No,103662,"Communication, Cloud Computing, Leadership, Python",High,10,43,Startup,Moderate,4.21,No,4.05,Declining
AIJ-100370,Product Manager,Media,India,Bachelor,2,0.4,0.77,Hybrid,63031,"Prompt Engineering, Project Management, Machine Learning, Python, Communication, Data Visualization",High,9,46,Medium,High,2.48,Yes,4.56,Growing
AIJ-100375,Robotics Engineer,Manufacturing,India,Master,15,0.09,0.32,Yes,127377,"Cloud Computing, Excel, Project Management",Low,-1,55,Enterprise,Moderate,2.15,No,4.56,Declining
AIJ-100376,IoT Specialist,Government,India,PhD,10,0.36,0.89,No,139464,"AWS, Python, Cloud Computing, Communication",Medium,43,53,Enterprise,Low,4.29,No,4.05,Growing
AIJ-100381,Digital Marketer,Technology,India,High School,7,0.11,0.22,Hybrid,196079,"Leadership, Azure, PyTorch",High,40,34,Medium,High,3.22,Yes,4.39,Growing
AIJ-100389,Machine Learning Engineer,Manufacturing,India,High School,20,0.91,0.92,Hybrid,81610,"Python, Deep Learning, PyTorch",Low,-9,45,Medium,Low,3.78,No,4.36,Declining
AIJ-100397,Healthcare Analyst,Education,India,PhD,7,0.66,0.5,No,59089,"Communication, Cloud Computing, Python, PyTorch",Medium,32,35,Enterprise,High,4.64,Yes,1.47,Declining
AIJ-100402,Healthcare Analyst,Retail,India,Master,6,0.08,0.36,Hybrid,81549,"Cloud Computing, Machine Learning, Excel",High,-2,57,Enterprise,High,3.63,No,1.03,Stable
AIJ-100412,Cybersecurity Analyst,Technology,India,Bachelor,14,0.16,0.79,No,74159,"Cloud Computing, Data Visualization, Project Management",Low,3,52,Startup,High,3.6,No,3.79,Growing
AIJ-100415,Business Analyst,Energy,India,PhD,3,0.63,0.49,Hybrid,47650,"Prompt Engineering, Azure, Deep Learning, SQL, Leadership, Cybersecurity",High,40,59,Enterprise,Low,2.76,Yes,3.4,Growing
AIJ-100420,Blockchain Developer,Education,India,PhD,2,0.6,0.44,No,181105,"Prompt Engineering, Deep Learning, PyTorch, Machine Learning",Medium,14,35,Medium,Moderate,3.27,No,4.04,Stable
AIJ-100427,Machine Learning Engineer,Healthcare,India,High School,12,0.61,0.69,Yes,196837,"Prompt Engineering, Communication, PyTorch, Deep Learning",Medium,-6,40,Startup,High,2.7,No,3.69,Declining
AIJ-100442,Data Scientist,Education,India,High School,16,0.38,0.63,No,140900,"Cloud Computing, Docker, Project Management",High,24,44,Startup,High,3.47,No,3.09,Stable
AIJ-100462,Digital Marketer,Retail,India,High School,5,0.69,0.61,Yes,109537,"Python, Docker, Azure, Communication",Low,24,37,Medium,Low,3.92,No,4.71,Stable
AIJ-100464,Cloud Architect,Energy,India,Bachelor,14,0.93,0.81,Yes,182898,"Data Visualization, Communication, Python, Docker, Leadership",Medium,7,36,Enterprise,High,4.42,No,1.62,Declining
AIJ-100480,Machine Learning Engineer,Healthcare,India,Master,11,0.46,0.33,Yes,107491,"Project Management, Machine Learning, AWS, SQL",Low,1,52,Medium,Moderate,4.96,No,4.05,Stable
AIJ-100484,DevOps Engineer,Retail,India,Bachelor,2,0.24,0.22,Yes,209220,"SQL, Excel, PyTorch, Deep Learning, Cloud Computing, Python",Low,7,42,Startup,Moderate,4.62,No,4.49,Growing
AIJ-100495,Machine Learning Engineer,Finance,India,High School,5,0.85,0.7,Hybrid,148195,"Prompt Engineering, PyTorch, TensorFlow",High,30,49,Startup,Low,4.93,No,2.94,Growing
AIJ-100497,Prompt Engineer,Education,India,Bachelor,6,0.72,0.59,Hybrid,164389,"Machine Learning, Excel, Project Management, Deep Learning",High,7,60,Medium,Low,3.75,No,1.66,Declining
