Discount,Profit
0.0,61.03951439897963
0.002,125.7626487635575
0.07,140.990022
0.1,63.683426007866274
0.15,50.60240942698706
0.17,38.317107346938776
0.2,23.552594237695075
0.202,-14.518846829268293
0.25,4.043371212121212
0.27,-4.317212628865979
0.3,-57.899557058823525
0.32,-88.56065555555554
0.35,-116.14469262295083
0.37,-78.46219054054055
0.4,-45.246602581051306
0.402,-109.9081376923077
0.45,-41.61097278287462
0.47,-42.98242013793104
0.5,-97.1401580526638
0.55,-315.0672
0.57,-526.129
0.6,-81.73214715852441
0.602,-213.2790852173913
0.65,-365.9979705882353
0.7,-104.33957609182531
0.8,-122.20324430379748
0.85,-1534.329
